Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"U1"	"ESP32 WROOM CH340"	"60.08mm"	"28.87mm"	"60mm"	"27mm"	"47.38mm"	"46.65mm"	"T"	"180"	"ESP32 WROOM"
"U2"	"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"	"31.5mm"	"21.84mm"	"31.5mm"	"21.84mm"	"34.07mm"	"19.94mm"	"T"	"90"	"SN65HVD230DR"
"U3"	"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR"	"19.05mm"	"60.2mm"	"19.05mm"	"60.2mm"	"20.4mm"	"59.25mm"	"T"	"0"	"MP2359DJ-LF-Z-MS"
"U4"	"SOP-18_L11.4-W7.6-P1.27-LS10.6-BL"	"115mm"	"40mm"	"115mm"	"40mm"	"120.08mm"	"44.96mm"	"T"	"180"	"ULN2803AD"
"U5"	"DIP-4_L6.4-W4.6-P2.54-LS7.6-BL"	"94.87mm"	"55.42mm"	"94.87mm"	"55.42mm"	"91.06mm"	"56.68mm"	"T"	"270"	"PC817X2NSZW"
"U6"	"DIP-4_L6.4-W4.6-P2.54-LS7.6-BL"	"94.87mm"	"48.42mm"	"94.87mm"	"48.42mm"	"91.06mm"	"49.68mm"	"T"	"270"	"PC817X2NSZW"
"U7"	"DIP-4_L6.4-W4.6-P2.54-LS7.6-BL"	"94.87mm"	"41.42mm"	"94.87mm"	"41.42mm"	"91.06mm"	"42.68mm"	"T"	"270"	"PC817X2NSZW"
"U8"	"DIP-4_L6.4-W4.6-P2.54-LS7.6-BL"	"94.87mm"	"34.42mm"	"94.87mm"	"34.42mm"	"91.06mm"	"35.68mm"	"T"	"270"	"PC817X2NSZW"
"U9"	"DIP-4_L6.4-W4.6-P2.54-LS7.6-BL"	"134mm"	"62mm"	"134mm"	"62mm"	"132.74mm"	"58.19mm"	"T"	"0"	"PC817X2NSZW"
"U10"	"DIP-4_L6.4-W4.6-P2.54-LS7.6-BL"	"127mm"	"62mm"	"127mm"	"62mm"	"125.74mm"	"58.19mm"	"T"	"0"	"PC817X2NSZW"
"U11"	"DIP-4_L6.4-W4.6-P2.54-LS7.6-BL"	"120mm"	"62mm"	"120mm"	"62mm"	"118.74mm"	"58.19mm"	"T"	"0"	"PC817X2NSZW"
"U12"	"DIP-4_L6.4-W4.6-P2.54-LS7.6-BL"	"113mm"	"62mm"	"113mm"	"62mm"	"111.74mm"	"58.19mm"	"T"	"0"	"PC817X2NSZW"
